Item,Topic,Requirement,Status
1,Title,Identifies as prediction model study,YES — 30-day readmission prediction
2,Abstract,Structured with key model details,Phase 9
3a,Background,Explain medical context,Phase 9
4a,Objectives,Study objectives including prediction task,Predict 30-day readmission in diabetic patients
4b,Prediction time,When the prediction is intended to be made,Two models: admission-time (Model A) and discharge-time (Model B)
5a,Source of data,Data source and setting,"UCI Diabetes 130-US Hospitals, 1999-2008"
5b,Dates,Start and end dates,"1999-2008, encounter_id as temporal proxy"
6a,Eligibility,Inclusion/exclusion criteria,"Excluded: deceased (n=1642), hospice (n=771), gender unknown (n=3), newborn (n=10)"
7a,Outcome,Outcome definition,Binary: readmitted <30 days vs not
7b,Predictors,All predictors defined,100 features after selection (125 pre-selection)
8a,Missing data,How handled,Tiered strategy per Madley-Dowd 2019; missing indicators for MNAR features
8b,Missing %,Proportion missing per variable,"Phase 1 results: weight 96.9%, medical_specialty 49.1%, etc."
9,Sample size,How determined,"Retrospective cohort, n=99,330; EPV=76"
10a,Statistical methods,Modeling approach,"LR, RF, XGBoost, LightGBM; validation AUROC selection; bootstrap optimism correction"
10b,Model building,Feature selection method,NZV filter → Mann-Whitney U + LASSO stability → collinearity check
10c,Validation,Internal validation method,Temporal train/valid/test split by patient; bootstrap optimism correction (Steyerberg 2019)
11,Risk groups,How created,Youden's J threshold on validation set
12,Missing data handling,Detailed description,OneHotEncoder for nominal; OrdinalEncoder for age; Platt scaling for calibration
13,Participants,Flow diagram,"101,766 → 99,330 (after exclusions) → 61,991/20,424/16,915 split"
14,Model performance,Full results,"AUROC 0.647 (0.631-0.661), AUPRC 0.173, ECE 0.010 post-calibration"
15,Calibration,Reported,"ECE before: 0.41, after Platt scaling: 0.010"
16,Subgroups,Subgroup performance,"Race, gender, age subgroups with disparities flagged"
17,Interpretation,Clinical implications,Limited clinical utility (DCA narrow); admission-time model AUROC 0.606
18,Limitations,Discussed,See limitations section
19,Implications,Clinical deployment considerations,Insufficient as standalone tool; may complement clinical judgment
